<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hWaitForInput'>hWaitForInput </a>  Handle -> Int -> IO Bool </tt>	Computation hWaitForInput hdl t waits until input is available on handle hdl
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hReady'>hReady </a>  Handle -> IO Bool </tt>	Computation hReady hdl indicates whether at least one item is available for input from handle hdl
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetChar'>hGetChar </a>  Handle -> IO Char </tt>	Computation hGetChar hdl reads a character from the file or channel managed by hdl, blocking until a character is available
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetLine'>hGetLine </a>  Handle -> IO String </tt>	Computation hGetLine hdl reads a line from the file or channel managed by hdl
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hLookAhead'>hLookAhead </a>  Handle -> IO Char </tt>	Computation hLookAhead returns the next character from the handle without removing it from the input buffer, blocking until a character is available
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetContents'>hGetContents </a>  Handle -> IO String </tt>	Computation hGetContents hdl returns the list of characters corresponding to the unread portion of the channel or file managed by hdl, which is put into an intermediate state, semi-closed
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hPutChar'>hPutChar </a>  Handle -> Char -> IO () </tt>	Computation hPutChar hdl ch writes the character ch to the file or channel managed by hdl
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hPutStr'>hPutStr </a>  Handle -> String -> IO () </tt>	Computation hPutStr hdl s writes the string s to the file or channel managed by hdl
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hPutStrLn'>hPutStrLn </a>  Handle -> String -> IO () </tt>	The same as hPutStr, but adds a newline character
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hPrint'>hPrint </a>  Show a => Handle -> a -> IO () </tt>	Computation hPrint hdl t writes the string representation of t given by the shows function to the file or channel managed by hdl and appends a newline
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:interact'>interact </a>  (String -> String) -> IO () </tt>	The interact function takes a function of type String-&gt;String as its argument
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:putChar'>putChar </a>  Char -> IO () </tt>	Write a character to the standard output device (same as hPutChar stdout)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:putStr'>putStr </a>  String -> IO () </tt>	Write a string to the standard output device (same as hPutStr stdout)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:putStrLn'>putStrLn </a>  String -> IO () </tt>	The same as putStr, but adds a newline character
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:print'>print </a>  Show a => a -> IO () </tt>	The print function outputs a value of any printable type to the standard output device
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:getChar'>getChar </a>  IO Char </tt>	Read a character from the standard input device (same as hGetChar stdin)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:getLine'>getLine </a>  IO String </tt>	Read a line from the standard input device (same as hGetLine stdin)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:getContents'>getContents </a>  IO String </tt>	The getContents operation returns all user input as a single string, which is read lazily as it is needed (same as hGetContents stdin)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:readIO'>readIO </a>  Read a => String -> IO a </tt>	The readIO function is similar to read except that it signals parse failure to the IO monad instead of terminating the program
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:readLn'>readLn </a>  Read a => IO a </tt>	The readLn function combines getLine and readIO
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:withBinaryFile'>withBinaryFile </a>  FilePath -> IOMode -> (Handle -> IO r) -> IO r </tt>	withBinaryFile name mode act opens a file using openBinaryFile and passes the resulting handle to the computation act
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:openBinaryFile'>openBinaryFile </a>  FilePath -> IOMode -> IO Handle </tt>	Like openFile, but open the file in binary mode
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hSetBinaryMode'>hSetBinaryMode </a>  Handle -> Bool -> IO () </tt>	Select binary mode (True) or text mode (False) on a open handle
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hPutBuf'>hPutBuf </a>  Handle -> Ptr a -> Int -> IO () </tt>	hPutBuf hdl buf count writes count 8-bit bytes from the buffer buf to the handle hdl
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetBuf'>hGetBuf </a>  Handle -> Ptr a -> Int -> IO Int </tt>	hGetBuf hdl buf count reads data from the handle hdl into the buffer buf until either EOF is reached or count 8-bit bytes have been read
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetBufSome'>hGetBufSome </a>  Handle -> Ptr a -> Int -> IO Int </tt>	hGetBufSome hdl buf count reads data from the handle hdl into the buffer buf
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetBufNonBlocking'>hGetBufNonBlocking </a>  Handle -> Ptr a -> Int -> IO Int </tt>	hGetBufNonBlocking hdl buf count reads data from the handle hdl into the buffer buf until either EOF is reached, or count 8-bit bytes have been read, or there is no more data available to read immediately
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:openTempFile'>openTempFile </a>  FilePath -> String -> IO (FilePath, Handle) </tt>	The function creates a temporary file in ReadWrite mode
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:openBinaryTempFile'>openBinaryTempFile </a>  FilePath -> String -> IO (FilePath, Handle) </tt>	Like openTempFile, but opens the file in binary mode
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:openTempFileWithDefaultPermissions'>openTempFileWithDefaultPermissions </a>  FilePath -> String -> IO (FilePath, Handle) </tt>	Like openTempFile, but uses the default file permissions
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:openBinaryTempFileWithDefaultPermissions'>openBinaryTempFileWithDefaultPermissions </a>  FilePath -> String -> IO (FilePath, Handle) </tt>	Like openBinaryTempFile, but uses the default file permissions
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hSetEncoding'>hSetEncoding </a>  Handle -> TextEncoding -> IO () </tt>	The action hSetEncoding hdl encoding changes the text encoding for the handle hdl to encoding
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetEncoding'>hGetEncoding </a>  Handle -> IO (Maybe TextEncoding) </tt>	Return the current TextEncoding for the specified Handle, or Nothing if the Handle is in binary mode
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:latin1'>latin1 </a>  TextEncoding </tt>	The Latin1 (ISO8859-1) encoding
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:utf8'>utf8 </a>  TextEncoding </tt>	The UTF-8 Unicode encoding
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:utf8_bom'>utf8_bom </a>  TextEncoding </tt>	The UTF-8 Unicode encoding, with a byte-order-mark (BOM; the byte sequence 0xEF 0xBB 0xBF)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:utf16'>utf16 </a>  TextEncoding </tt>	The UTF-16 Unicode encoding (a byte-order-mark should be used to indicate endianness)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:utf16le'>utf16le </a>  TextEncoding </tt>	The UTF-16 Unicode encoding (litte-endian)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:utf16be'>utf16be </a>  TextEncoding </tt>	The UTF-16 Unicode encoding (big-endian)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:utf32'>utf32 </a>  TextEncoding </tt>	The UTF-32 Unicode encoding (a byte-order-mark should be used to indicate endianness)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:utf32le'>utf32le </a>  TextEncoding </tt>	The UTF-32 Unicode encoding (litte-endian)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:utf32be'>utf32be </a>  TextEncoding </tt>	The UTF-32 Unicode encoding (big-endian)
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:localeEncoding'>localeEncoding </a>  TextEncoding </tt>	The Unicode encoding of the current locale  This is the initial locale encoding: if it has been subsequently changed by setLocaleEncoding this value will not reflect that change
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:char8'>char8 </a>  TextEncoding </tt>	An encoding in which Unicode code points are translated to bytes by taking the code point modulo 256
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:mkTextEncoding'>mkTextEncoding </a>  String -> IO TextEncoding </tt>	Look up the named Unicode encoding
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hSetNewlineMode'>hSetNewlineMode </a>  Handle -> NewlineMode -> IO () </tt>	Set the NewlineMode on the specified Handle
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:nativeNewline'>nativeNewline </a>  Newline </tt>	The native newline representation for the current platform: LF on Unix systems, CRLF on Windows
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:NewlineMode'>NewlineMode </a>  Newline -> Newline -> NewlineMode </tt>	Specifies the translation, if any, of newline characters between internal Strings and the external file or stream
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:[inputNL]'>[inputNL] </a>  NewlineMode -> Newline </tt>	the representation of newlines on input
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:[outputNL]'>[outputNL] </a>  NewlineMode -> Newline </tt>	the representation of newlines on output
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:noNewlineTranslation'>noNewlineTranslation </a>  NewlineMode </tt>	Do no newline translation at all
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:universalNewlineMode'>universalNewlineMode </a>  NewlineMode </tt>	Map '\r\n' into '\n' on input, and '\n' to the native newline represetnation on output
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:nativeNewlineMode'>nativeNewlineMode </a>  NewlineMode </tt>	Use the native newline representation on both input and output   nativeNewlineMode  = NewlineMode { inputNL  = nativeNewline outputNL = nativeNewline }
<tt style='background-color:#E8E8E8;'> Control.Monad.Fix <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Fix.html#v:mfix'>mfix </a>  MonadFix m => (a -> m a) -> m a </tt>	The fixed point of a monadic computation
<tt style='background-color:#E8E8E8;'> Control.Monad.Fix <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Fix.html#v:fix'>fix </a>  (a -> a) -> a </tt>	fix f is the least fixed point of the function f
<tt style='background-color:#E8E8E8;'> Control.Arrow <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Arrow.html#v:arr'>arr </a>  Arrow a => (b -> c) -> a b c </tt>	Lift a function to an arrow
<tt style='background-color:#E8E8E8;'> Control.Arrow <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Arrow.html#v:first'>first </a>  Arrow a => a b c -> a (b, d) (c, d) </tt>	Send the first component of the input through the argument arrow, and copy the rest unchanged to the output
<tt style='background-color:#E8E8E8;'> Control.Arrow <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Arrow.html#v:second'>second </a>  Arrow a => a b c -> a (d, b) (d, c) </tt>	A mirror image of first
<tt style='background-color:#E8E8E8;'> Control.Arrow <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Arrow.html#v:(***)'>(***) </a>  Arrow a => a b c -> a b' c' -> a (b, b') (c, c') </tt>	Split the input between the two argument arrows and combine their output
<tt style='background-color:#E8E8E8;'> Control.Arrow <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Arrow.html#v:(&&&)'>(&&&) </a>  Arrow a => a b c -> a b c' -> a b (c, c') </tt>	Fanout: send the input to both argument arrows and combine their output
<tt style='background-color:#E8E8E8;'> Control.Arrow <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Arrow.html#v:Kleisli'>Kleisli </a>  (a -> m b) -> Kleisli m a b </tt>	Kleisli arrows of a monad
<tt style='background-color:#E8E8E8;'> Control.Arrow <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Arrow.html#v:returnA'>returnA </a>  Arrow a => a b b </tt>	The identity arrow, which plays the role of return in arrow notation
