ArrayAccess offset Get $konum	değerin döndürüleceği konum
function resource odbc prepare resource $bağlantı_kimliği string $sorgu_dizgesi	&ccedil;alıştırılmak &uuml;zere bir deyim hazırlar
function odbc primarykeys $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function resource odbc primarykeys	hata durumunda false yoksa istenen bilgiyi içeren bir odbc sonuç tanıtıcısı döner
function resource odbc primarykeys resource $bağlantı_kimliği string $niteleyici string $sahibi string $tablo	bir tablonun birincil anahtarlarını d&ouml;nd&uuml;r&uuml;r
function odbc procedures $sahibi	sahibi
function odbc procedures $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc procedures $niteleyici	niteleyici
function odbc procedures $isim	isim
function resource odbc procedures	hata durumunda false yoksa istenen bilgiyi içeren bir odbc sonuç tanıtıcısı döner
function resource odbc procedures resource $bağlantı_kimliği	belirtilen veri kaynağında saklı yordamların listesini d&ouml;nd&uuml;r&uuml;r
function odbc result all $sonuç_kimliği	sonuç tanıtıcısı
function odbc result all $biçem	tablo biçemi
function int odbc result all	bir hata durumunda false yoksa satır sayısı döner
function int odbc result all resource $sonuç_kimliği string $biçem	sonucu bir html tablosu olarak basar
function odbc result $alan	veri döndürülecek alan ismi
function odbc result $sonuç_kimliği	bir odbc sonuç tanıtıcısı
function mixed odbc result	hata durumunda false null veri için null ikil veri için true aksi takdirde alanı içeren bir dizge döner
function mixed odbc result resource $sonuç_kimliği mixed $alan	sonu&ccedil;tan veri d&ouml;nd&uuml;r&uuml;r
function odbc rollback $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function bool odbc rollback	başarı durumunda true başarısızlık durumunda false döner
function bool odbc rollback resource $bağlantı_kimliği	bir hareketi başa d&ouml;nd&uuml;r&uuml;r
function odbc setoption $seçenek	değeri ayarlanacak seçenek
function odbc setoption $işlev	odbc işlevi kullanılacak mı?
function odbc setoption $kimlik	ayar değişikliği yapılacak bağlantı veya sonuç kimliği
function odbc setoption $değer	ayarlanacak seçeneğin değeri
function bool odbc setoption	başarı durumunda true başarısızlık durumunda false döner
function bool odbc setoption resource $kimlik int $işlev int $seçenek int $değer	odbc ayarlarını yapar
function odbc specialcolumns $niteleyici	niteliyici
function odbc specialcolumns $tablo	tablo
function odbc specialcolumns $boş	nullable özniteliği
function odbc specialcolumns $sahibi	sahibi
function odbc specialcolumns $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc specialcolumns $türü	sql_best_rowid belirtilirse tablodaki her satırı eşsiz olarak betimleyin sütun veya sütunlar döner
function odbc specialcolumns $kapsam	sonuç kümesinin kapsamı
function resource odbc specialcolumns	hata durumunda false yoksa istenen bilgiyi içeren bir odbc sonuç tanıtıcısı döner
function resource odbc specialcolumns resource $bağlantı_kimliği int $türü string $niteleyici string $sahibi string $tablo int $kapsam int $boş	&ouml;zel s&uuml;tunları d&ouml;nd&uuml;r&uuml;r
function odbc statistics $eşsiz	unique özniteliği
function odbc statistics $doğruluk	doğruluk
function odbc statistics $niteleyici	niteleyici
function odbc statistics $sahibi	sahibi
function odbc statistics $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc statistics $tablo_ismi	tablo ismi
function resource odbc statistics	hata durumunda false yoksa istenen bilgiyi içeren bir odbc sonuç tanıtıcısı döner
function resource odbc statistics resource $bağlantı_kimliği string $niteleyici string $sahibi string $tablo_ismi int $eşsiz int $doğruluk	bir tablo hakkındaki istatistikleri d&ouml;nd&uuml;r&uuml;r
function odbc tables $sahibi	sahibi
function odbc tables $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc tables $tablo_türü	tablo_türü boş bir dizge değilse tablo türlerinden oluşan virgül ayraçlı bir liste olmalıdır
function odbc tables $niteleyici	niteleyici
function odbc tables $isim	isim
function resource odbc tables	hata durumunda false yoksa istenen bilgiyi içeren bir odbc sonuç tanıtıcısı döner
function resource odbc tables resource $bağlantı_kimliği string $niteleyici string $sahibi string $isim string $tablo_türü	belli bir veri kaynağında bulunan tablo isimlerini d&ouml;nd&uuml;r&uuml;r
function opendir $dizin	açılacak dizinin yolu
function opendir $bağlam	bağlam değiştirgesinin açıklaması için akımlar bölümüne bakınız
function resource opendir	başarılı olduğunda dizin tanıtıcısı ile aksi takdirde false değeriyle döner
function resource opendir string $dizin resource $bağlam	belirtilen dizin i&ccedil;in bir tanıtıcı d&ouml;nd&uuml;r&uuml;r
function openlog $kimlik	kimlik dizgesi her iletiye eklenir
function openlog $seçenek	seçenek değiştirgesi bir günlük iletisi üretilirken hangi günlük seçeneğinin kullanılacağını belirtmek için kullanılır
function openlog $oluşum	oluşum değiştirgesi iletiyi günlüğe kaydedecek program türünü belirtmek için kullanılır
function bool openlog	başarı durumunda true başarısızlık durumunda false döner
function bool openlog string $kimlik int $seçenek int $oluşum	sistem g&uuml;nl&uuml;k&ccedil;&uuml;s&uuml;ne erişim i&ccedil;in bağlantı a&ccedil;ar
function openssl csr export to file $metinsiz	belirtilmesi isteğe bağlı olan metinsiz değiştirgesi çıktının ayrıntı seviyesini belirler
function openssl csr export to file $dosya	çıktı dosyasının yolu
function bool openssl csr export to file	başarı durumunda true başarısızlık durumunda false döner
function bool openssl csr export to file resource $csr string $dosya bool $metinsiz	belirtilen csr'yi bir dosyaya kaydeder
function openssl csr export $metinsiz	belirtilmesi isteğe bağlı olan metinsiz değiştirgesi çıktının ayrıntı seviyesini belirler
function bool openssl csr export	başarı durumunda true başarısızlık durumunda false döner
function bool openssl csr export resource $csr string $çıktı bool $metinsiz	belirtilen csr'yi bir dizge olarak d&ouml;nd&uuml;r&uuml;r
function openssl csr new $ayarlar	isteği ilklendirmek için öntanımlı olarak sisteminizdeki openssl
function openssl csr new $dn	sertifika için kullanılacak ayırt edilebilir isim
function openssl csr new $gizanh	openssl_pkey_new() veya başka bir openssl_pkey işlevi ile üretilmiş bir gizli anahtar
function openssl csr new $ek_seçenekler	csr için kullanılacak ek seçenekleri belirtmek için kullanılır
function mixed openssl csr new	üretilen csryi döndürür
function mixed openssl csr new array $dn resource $gizanh array $ayarlar array $ek_seçenekler	bir sertifika imzalama isteği csr &uuml;retir
function openssl csr sign $gün	üretilen sertifikanın kaç gün geçerli kalacağı belirtilir
function openssl csr sign $CA_sert	üretilen sertifikayı imzalamak için kullanılacak sertifika
function openssl csr sign $sıranum	üretilen sertifikanın sıra numarası
function openssl csr sign $gizanh	ca_sert ile ilişkili gizli anahtar
function openssl csr sign $ayarlar	üretilen sertifikanın ince ayarları için kullanılır
function openssl csr sign $csr	openssl_csr_new() tarafından üretilmiş bir sertifika imzalama isteği file: / / bir / yol / csr biçeminde bir dizge olarak pem kodlamalı bir csrnin dosya yolu veya openssl_csr_export() işlevinden dönen bir dizge olabilir
function resource openssl csr sign	işlem başarısız olursa false yoksa bir x509 sertifika özkaynağı döner
function resource openssl csr sign mixed $csr mixed $CA_sert mixed $gizanh int $gün array $ayarlar int $sıranum	bir csr'yi başka bir sertifika veya kendisi ile imzalayıp bir sertifika &uuml;retir
function openssl decrypt $veri	şifresi çözülecek veri
function openssl decrypt $ham_girdi	true belirtilirse veri değiştirgesinde ham bir dizge false belirtilirse base64 kodlu bir dizge bulunduğu varsayılır
function openssl decrypt $parola	parola
function openssl decrypt $yöntem	şifreleme yöntemi
function string openssl decrypt	işlem başarısız olursa false yoksa şifresi çözülmüş veriyi bir dizge olarak döndürür
function string openssl decrypt string $veri string $yöntem string $parola string $ham_girdi	verinin şifresini &ccedil;&ouml;zer
function openssl digest $veri	özeti hesaplanacak veri
function openssl digest $yöntem	özet yöntemi
function openssl digest $ham_çıktı	çıktı ham dizge olacaksa true onaltılık kodlu dizge olacaksa false olmalıdır
function string openssl digest	işlem başarısız olursa false yoksa özet dizgesi döner
function string openssl digest string $veri string $yöntem bool $ham_çıktı	bir &ouml;zet hesaplar
function openssl encrypt $veri	şifrelenecek veri
function openssl encrypt $ham_çıktı	çıktı ham olarak döndürülecekse true base64 kodlanmış olarak döndürülecekse false olmalıdır
function openssl encrypt $parola	parola
function openssl encrypt $yöntem	şifreleme yöntemi
function string openssl encrypt	işlem başarısız olursa false yoksa şifrelenmiş veri dizgesi döner
function string openssl encrypt string $veri string $yöntem string $parola bool $ham_çıktı	veriyi şifreler
function void openssl free key resource $ankim	anahtar &ouml;zkaynağını serbest bırakır
function openssl get cipher methods $rumuzlar	şifre rumuzları dönen diziye dahil edilecekse true olmalıdır
function array openssl get cipher methods	kullanılabilecek şifreleme yöntemlerini içeren bir dizi
function array openssl get cipher methods bool $rumuzlar	kullanılabilecek şifreleme y&ouml;ntemlerini d&ouml;nd&uuml;r&uuml;r
function openssl get md methods $rumuzlar	özet rumuzları dönen diziye dahil edilecekse true olmalıdır
function array openssl get md methods	kullanılabilecek özet yöntemlerini içeren bir dizi
function array openssl get md methods bool $rumuzlar	kullanılabilecek &ouml;zet y&ouml;ntemlerini d&ouml;nd&uuml;r&uuml;r
function openssl open $veri	işlem başarılı olursa çözümlenen veri bu değiştirgeye konur
function bool openssl open	başarı durumunda true başarısızlık durumunda false döner
function bool openssl open string $mühürlü_veri string $veri string $zarf_anahtarı mixed $gizankim	m&uuml;h&uuml;rl&uuml; veriyi a&ccedil;ar
function openssl pkcs12 export to file $gizli_anh	pkcs#12 dosyasının gizli anahtar bileşeni
function openssl pkcs12 export to file $parola	pkcs#12 dosyasının şifreleme / çözme parolası
function openssl pkcs12 export to file $dosya	çıktı dosyasının yolu
function bool openssl pkcs12 export to file	başarı durumunda true başarısızlık durumunda false döner
function bool openssl pkcs12 export to file mixed $x509 string $dosya mixed $gizli_anh string $parola array $değiştirgeler	bir pkcs#12 uyumlu sertifika deposunu bir dosyaya kaydeder
function openssl pkcs12 read $parola	pkcs#12 dosyasının şifresini açmak için parola
function openssl pkcs12 read $pkcs12	pkcs#12 sertifika deposunu içeren dosyanın yolu
function openssl pkcs12 read $sertifikalar	işlem başarılı olursa sertifikalar bu diziye konur
function bool openssl pkcs12 read	başarı durumunda true başarısızlık durumunda false döner
function bool openssl pkcs12 read string $pkcs12 array $sertifikalar string $parola	bir pkcs#12 sertifika deposunu bir diziye &ccedil;&ouml;z&uuml;mler
function openssl pkcs7 sign $ek_sertifikalar	alıcının imzayı doğrulamasına yardımcı olması için imzaya eklenecek sertifikaları içeren dosyanın yolu
function openssl pkcs7 sign $seçenekler	çıktıda değişiklik yapmak için kullanılır
function openssl pkcs7 sign $başlıklar	ileti imzalandıktan sonra hazırlanan başlıkları içeren bir dizidir
function bool openssl pkcs7 sign	başarı durumunda true başarısızlık durumunda false döner
function bool openssl pkcs7 sign string $girdi_dosyası string $çıktı_dosyası mixed $imza_sertifikası mixed $gizli_anahtar array $başlıklar int $seçenekler string $ek_sertifikalar	bir s / mime iletiyi imzalar
function openssl pkey export to file $parolası	belirtilen anahtar bir parola ile korunuyorsa bu parola burada belirtilir
function openssl pkey export to file $ayarlar	ihraç işlemine ince ayar çekmek için ve / veya openssl yapılandırma dosyasındaki seçenekleri geçersiz kılmak için kullanılabilir
function openssl pkey export to file $dosya	ascii zırhlı anahtarın kaydedileceği dosyanın yolu
function bool openssl pkey export to file	başarı durumunda true başarısızlık durumunda false döner
